Model	Fiyat	Yil	Motor-Hacmi	Kilometre	Yakit	Seri	Kimden	Marka	Takasa-Uygun	Boya-Degisen	Vites-Tipi	Ilan-Tarihi	Ilan-No	Mekan
1.5 dCi Joy	 52.000 TL 	2013	1461 cc	230.000 km	Dizel	Fluence	Sahibinden	Renault	Takasa Uygun	1 değişen, 2 boyalı	Düz	13 Eylül 2019	12264111	GAZİANTEP / ŞAHİNBEY / GÜNEŞ MAHALLESİ	
1.5 dCi Laureate	 60.000 TL 	2015	1461 cc	133.000 km	Dizel	Lodgy	Galeriden	Dacia	Takasa Uygun Değil	2 boyalı	Düz	14 Eylül 2019	12265598	SAKARYA / ERENLER / KÜPÇÜLER MAHALLESİ	
1.5	 166.500 TL 	2019	1401 - 1600 cm3	600 km	Benzin	Cooper	Galeriden	MINI	Takasa Uygun	Belirtilmemiş	Otomatik	13 Eylül 2019	12264188	ANTALYA / MURATPAŞA / YEŞİLBAHÇE MAHALLESİ	
1.6 Trendline	 59.500 TL 	2009	1595 cc	186.000 km	Benzin	Passat	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265612	MERSİN / TARSUS / FERAHİMŞALVUZ MAHALLESİ	
2.0 TDI BMT Comfortline	 127.500 TL 	2015	111.000 km	Dizel	Caravelle	Galeriden	Volkswagen	4x2 (Arkadan İtişli)	Belirtilmemiş	Düz	13 Eylül 2019	Takasa Uygun	12263961	GAZİANTEP / ŞEHİTKAMİL / AYDINLAR MAHALLESİ	
2.0 GL	 16.500 TL 	2002	1998 cc	388.331 km	LPG & Benzin	Vectra	Galeriden	Opel	Takasa Uygun	1 boyalı	Düz	12 Eylül 2019	12237156	BURDUR / MERKEZ / AYDINLIKEVLER MAHALLESİ	
1.6 Enjoy	 40.500 TL 	2004	1598 cc	240.000 km	Benzin	Astra	Galeriden	Opel	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265521	MANİSA / AKHİSAR / HÜRRİYET MAHALLESİ	
1.6 FSi Comfortline	 61.500 TL 	2008	1598 cc	193.000 km	Benzin	Passat	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12264555	ANTALYA / MURATPAŞA / ETİLER MAHALLESİ	
1.5 dCi Touch	 94.500 TL 	2018	1401 - 1600 cm3	11.250 km	Dizel	Clio	Yetkili Bayiden	Renault	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12263833	İSTANBUL / ESENLER / TUNA MAHALLESİ	
1.6 Exclusive	 37.750 TL 	2005	1595 cc	400.000 km	LPG & Benzin	Passat	Galeriden	Volkswagen	Takasa Uygun Değil	Belirtilmemiş	Düz	30 Ağustos 2019	12033752	ŞANLIURFA / HİLVAN / KARACURUN MAHALLESİ	
1.6 FSi Comfortline	 54.500 TL 	2005	1598 cc	237.000 km	Benzin	Passat	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12265050	AYDIN / NAZİLLİ / NAZİLLİ OSB	
1.4 HDi Trendy	 38.500 TL 	2010	1360 cc	169.000 km	Dizel	207	Galeriden	Peugeot	Takasa Uygun Değil	1 boyalı	Düz	10 Eylül 2019	12233159	DİYARBAKIR / YENİŞEHİR / FABRİKA MAHALLESİ	
1.5 dCi Touch Plus	 82.999 TL 	2016	1461 cc	130.000 km	Dizel	Megane	Galeriden	Renault	Takasa Uygun Değil	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12265584	ŞANLIURFA / HALİLİYE / PAŞABAĞI MAHALLESİ	
1.3 CDTI Enjoy	 36.500 TL 	2004	1248 cc	220.000 km	Dizel	Corsa	Galeriden	Opel	Takasa Uygun	Belirtilmemiş	Düz	10 Eylül 2019	12148687	BOLU / MERKEZ / MERKEZ	
1.5 CRDi EX	 38.000 TL 	2005	1493 cc	216.000 km	Dizel	Cerato	Sahibinden	Kia	Takasa Uygun Değil	1 boyalı	Düz	14 Eylül 2019	12265323	ESKİŞEHİR / ODUNPAZARI / 71 EVLER MAHALLESİ	
1.5 dCi Touch	 67.900 TL 	2015	102.715 km	Dizel	Kangoo Multix	Galeriden	Renault	4x2 (Arkadan İtişli)	2 boyalı	Düz	14 Eylül 2019	Takasa Uygun Değil	10668729	BURSA / NİLÜFER / ATAEVLER MAHALLESİ	
1.5 dCi Authentique	 31.250 TL 	2003	1461 cc	151.000 km	Dizel	Clio	Sahibinden	Renault	Takasa Uygun	1 boyalı	Düz	13 Eylül 2019	12263611	KONYA / SELÇUKLU / SELÇUK MAHALLESİ	
C 200 BlueTEC Fascination	 226.000 TL 	2016	1598 cc	80.000 km	Dizel	C	Galeriden	Mercedes - Benz	Takasa Uygun	Belirtilmemiş	Otomatik	13 Eylül 2019	12264629	MUĞLA / ULA / KÖPRÜBAŞI MAHALLESİ	
1.5 TDCi Trend X	 71.500 TL 	2016	1401 - 1600 cm3	70.000 km	Dizel	Fiesta	Galeriden	Ford	Takasa Uygun	Belirtilmemiş	Düz	09 Eylül 2019	12228400	İSTANBUL / PENDİK / ŞEYHLİ MAHALLESİ	
1.5 GLX	 12.750 TL 	1990	1468 cc	370.000 km	LPG & Benzin	Lancer	Sahibinden	Mitsubishi	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12264130	KAYSERİ / KOCASİNAN / FEVZİ ÇAKMAK MAHALLESİ	
1.5 dCi Joy	 47.750 TL 	2013	1461 cc	170.000 km	Dizel	Fluence	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265241	DÜZCE / MERKEZ / AZİZİYE MAHALLESİ	
320i ED Sport Line	 176.750 TL 	2016	1401 - 1600 cm3	73.000 km	Benzin	3 Serisi	Galeriden	BMW	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12265515	ANKARA / AKYURT / SARACALAR MAHALLESİ	
200	 75.750 TL 	1993	1997 cc	134.000 km	Benzin	E	Galeriden	Mercedes - Benz	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12263575	GAZİANTEP / ŞEHİTKAMİL / AYDINLAR MAHALLESİ	
1.5 dCi Expression	 34.900 TL 	2005	1461 cc	148.000 km	Dizel	Clio	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12263945	GAZİANTEP / ŞEHİTKAMİL / AYDINLAR MAHALLESİ	
1.6 TDi BlueMotion Comfortline	 146.900 TL 	2017	1401 - 1600 cm3	83.000 km	Dizel	Passat	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12264831	TEKİRDAĞ / ÇORLU / ÖNERLER MAHALLESİ	
1.9 TDi Exclusive	 46.500 TL 	2005	1801 - 2000 cm3	269.000 km	Dizel	Passat	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12265498	KAYSERİ / KOCASİNAN / YILDIZEVLER MAHALLESİ	
1.5 dCi Stepway Style	 93.000 TL 	2018	1461 cc	0 km	Dizel	Sandero	Galeriden	Dacia	Takasa Uygun Değil	Belirtilmemiş	Düz	13 Eylül 2019	12181223	ARTVİN / YUSUFELİ / MERKEZ	
1.6 CDTI Sport	 93.500 TL 	2016	1401 - 1600 cm3	84.000 km	Dizel	Astra	Galeriden	Opel	Takasa Uygun	2 boyalı	Otomatik	09 Eylül 2019	12090298	İSTANBUL / KADIKÖY / MERDİVENKÖY MAHALLESİ	
1.5 dCi Authentique	 36.500 TL 	2011	1461 cc	146.000 km	Dizel	Symbol	Galeriden	Renault	Takasa Uygun	1 değişen, 3 boyalı	Düz	14 Eylül 2019	11564630	ADANA / SEYHAN / YEŞİLOBA MAHALLESİ	
1.6 TDI Elegance	 109.750 TL 	2014	1598 cc	124.000 km	Dizel	SuperB	Galeriden	Skoda	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12264960	İSTANBUL / PENDİK / KAYNARCA MAHALLESİ	
1.6 ES	 46.000 TL 	2002	1590 cc	217.000 km	LPG & Benzin	Civic	Sahibinden	Honda	Takasa Uygun Değil	2 boyalı	Düz	14 Eylül 2019	12265114	OSMANİYE / MERKEZ / ULAŞLI MAHALLESİ	
1.2 Joy	 51.500 TL 	2013	1149 cc	91.000 km	Benzin	Clio	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265453	EDİRNE / MERKEZ / MERKEZ	
1.4 TSi BlueMotion Comfortline	 90.000 TL 	2012	1390 cc	105.000 km	Benzin	Passat	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12265202	KÜTAHYA / MERKEZ / OSMANGAZİ MAHALLESİ	
1.4 EL	 20.000 TL 	1998	1368 cc	218.000 km	LPG & Benzin	Palio	Sahibinden	Fiat	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12264954	İSTANBUL / PENDİK / ORHANGAZİ MAHALLESİ	
1.5 dCi Expression	 70.000 TL 	2010	1461 cc	142.000 km	Dizel	Grand Scenic	Sahibinden	Renault	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12264134	TEKİRDAĞ / ÇORLU / CEMALİYE MAHALLESİ	
1.6 TDi BlueMotion Comfortline	 192.000 TL 	2018	1401 - 1600 cm3	4.700 km	Dizel	Passat	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12265432	DENİZLİ / MERKEZEFENDİ / SARAYLAR MAHALLESİ	
1.6	 16.500 TL 	1995	1581 cc	133.000 km	LPG & Benzin	Şahin	Sahibinden	Tofaş	Takasa Uygun Değil	1 değişen	Düz	13 Eylül 2019	12263738	ANKARA / ETİMESGUT / ERLER MAHALLESİ	
1.6 Exception	 41.900 TL 	2007	1401 - 1600 cm3	237.000 km	LPG & Benzin	Megane	Galeriden	Renault	Takasa Uygun	1 boyalı	Düz	13 Eylül 2019	12264118	İZMİR / BAYINDIR / MİTHATPAŞA MAHALLESİ	
1.3 Multijet Easy	 1 TL 	2017	1248 cc	56.306 km	Dizel	Egea	Galeriden	Fiat	Takasa Uygun Değil	5 boyalı	Düz	13 Eylül 2019	12264675	İZMİR / GAZİEMİR / MERKEZ	
1.6 TDCi Style	 84.750 TL 	2015	1560 cc	103.000 km	Dizel	Focus	Galeriden	Ford	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265533	ANKARA / AKYURT / SARACALAR MAHALLESİ	
1.6 TDi Comfortline	 103.750 TL 	2015	1401 - 1600 cm3	122.000 km	Dizel	Jetta	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12260906	HATAY / İSKENDERUN / GÜLTEPE MAHALLESİ	
1.6 Signo	 34.000 TL 	2000	243.000 km	LPG & Benzin	Leon	Sahibinden	Seat	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12264630	NİĞDE / MERKEZ / YUKARI KAYABAŞI MAHALLESİ	
1.6	 21.000 TL 	1997	1598 cc	300.000 km	Benzin	Polo	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265406	SİVAS / MERKEZ / GÜLTEPE MAHALLESİ	
1.6 SX	 21.750 TL 	2000	1596 cc	315.000 km	LPG & Benzin	Marea	Sahibinden	Fiat	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12264461	AFYONKARAHİSAR / İSCEHİSAR / ESENTEPE MAHALLESİ	
1.3 CDTI Essentia	 25.750 TL 	2006	1248 cc	241.000 km	Dizel	Corsa	Galeriden	Opel	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	11834761	İSTANBUL / BAĞCILAR / GÖZTEPE MAHALLESİ	
1.6 Comfort	 41.000 TL 	2004	1598 cc	260.000 km	Benzin	Avensis	Galeriden	Toyota	Takasa Uygun Değil	Belirtilmemiş	Düz	13 Eylül 2019	12264781	ADANA / SEYHAN / YEŞİLOBA MAHALLESİ	
1.5 dCi Touch	 72.000 TL 	2014	1461 cc	90.000 km	Dizel	Megane	Sahibinden	Renault	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12265358	İSTANBUL / PENDİK / ESENYALI MAHALLESİ	
1.5 GLS	 22.500 TL 	1998	1495 cc	270.000 km	LPG & Benzin	Accent	Sahibinden	Hyundai	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12265018	ADANA / CEYHAN / HÜRRİYET MAHALLESİ	
Doblo Panorama 1.6 Multijet Premio	 62.950 TL 	2014	160.000 km	Dizel	Doblo	Galeriden	Fiat	4x2 (Arkadan İtişli)	Belirtilmemiş	Düz	13 Eylül 2019	Takasa Uygun	12264529	İSTANBUL / BAHÇELİEVLER / BAHÇELİEVLER MAHALLESİ	
1.5 dCi Touch	 98.500 TL 	2016	1401 - 1600 cm3	90.000 km	Dizel	Megane	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12264307	ANKARA / AKYURT / SARACALAR MAHALLESİ	
1.4 CRDi Style	 79.000 TL 	2017	1396 cc	79.666 km	Dizel	i20	Yetkili Bayiden	Hyundai	Takasa Uygun	2 boyalı	Düz	13 Eylül 2019	12263706	İSTANBUL / ESENLER / TUNA MAHALLESİ	
1.6 dCi Icon	 200.000 TL 	2016	1598 cc	24.500 km	Dizel	Talisman	Galeriden	Renault	Takasa Uygun Değil	Tamamı orjinal	Yarı Otomatik	14 Eylül 2019	10662966	ELAZIĞ / MERKEZ / AKÇAKİRAZ BELDESİ (YÜZBAŞI MAHALLESİ)	
1.3 CDTI Essentia Konfor	 51.000 TL 	2011	1248 cc	259.000 km	Dizel	Astra	Sahibinden	Opel	Takasa Uygun Değil	2 boyalı	Düz	13 Eylül 2019	12263677	NİĞDE / MERKEZ / ŞAHİNALİ MAHALLESİ	
1.6 TDCi Style	 96.750 TL 	2015	1560 cc	111.000 km	Dizel	Mondeo	Galeriden	Ford	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265311	İSTANBUL / MALTEPE / BAĞLARBAŞI MAHALLESİ	
XR	 22.500 TL 	1998	1360 cc	225.000 km	Benzin	106	Galeriden	Peugeot	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12263625	BALIKESİR / SINDIRGI / KURTULUŞ MAHALLESİ	
1.3 Multijet Pop	 51.000 TL 	2015	1248 cc	125.000 km	Dizel	Linea	Galeriden	Fiat	Takasa Uygun	2 boyalı	Düz	10 Eylül 2019	12148680	BOLU / MERKEZ / MERKEZ	
1.4	 12.500 TL 	1998	1372 cc	50.000 km	LPG & Benzin	Şahin	Galeriden	Tofaş	Takasa Uygun	Belirtilmemiş	Düz	12 Eylül 2019	10218834	DENİZLİ / SARAYKÖY / CUMHURİYET MAHALLESİ	
1.4 CRDi Jump	 52.900 TL 	2014	1201 - 1400 cm3	205.000 km	Dizel	i20	Galeriden	Hyundai	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	11627702	SAKARYA / ADAPAZARI / ŞEKER MAHALLESİ	
1.33 Fun	 68.000 TL 	2012	1329 cc	61.000 km	Benzin	Yaris	Sahibinden	Toyota	Takasa Uygun Değil	1 değişen	Otomatik	14 Eylül 2019	12264888	OSMANİYE / DÜZİÇİ / İRFANLI MAHALLESİ	
1.5 dCi Touch	 62.800 TL 	2014	1461 cc	130.000 km	Dizel	Fluence	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12265230	DÜZCE / MERKEZ / AZİZİYE MAHALLESİ	
1.5 dCi Stepway	 78.500 TL 	2016	1461 cc	12.000 km	Dizel	Sandero	Galeriden	Dacia	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12264939	ANTALYA / KEPEZ / ALTINOVA DÜDEN MAHALLESİ	
1.6 TDi BlueMotion Highline	 145.750 TL 	2014	1598 cc	168.000 km	Dizel	Passat	Galeriden	Volkswagen	Takasa Uygun	Tamamı orjinal	Yarı Otomatik	13 Eylül 2019	12261298	HATAY / İSKENDERUN / KURTULUŞ MAHALLESİ	
3.0 CRD	 85.000 TL 	2006	2987 cc	211.000 km	Dizel	300 C	Galeriden	Chrysler	Takasa Uygun	Belirtilmemiş	Otomatik	14 Eylül 2019	11475934	SAKARYA / ADAPAZARI / ŞEKER MAHALLESİ	
1.6 Comfort	 33.750 TL 	2005	1596 cc	220.000 km	Benzin	Focus	Galeriden	Ford	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12264523	BURSA / YILDIRIM / YİĞİTLER MAHALLESİ	
1.6 Ghia	 40.000 TL 	2002	1596 cc	191.000 km	LPG & Benzin	Focus	Sahibinden	Ford	Takasa Uygun	Tamamı orjinal	Düz	13 Eylül 2019	12263579	KAYSERİ / MELİKGAZİ / GESİ FATİH MAHALLESİ	
1.6 TDi BlueMotion Comfortline	 131.500 TL 	2015	1401 - 1600 cm3	140.800 km	Dizel	Passat	Galeriden	Volkswagen	Takasa Uygun Değil	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12265109	ANKARA / ÇANKAYA / ÇAYYOLU MAHALLESİ	
1.2 TSi Comfortline	 86.000 TL 	2012	1197 cc	109.000 km	Benzin	Jetta	Sahibinden	Volkswagen	Takasa Uygun Değil	Tamamı orjinal	Yarı Otomatik	14 Eylül 2019	12264256	İSTANBUL / BAŞAKŞEHİR / BAŞAKŞEHİR MAHALLESİ	
1.6 Titanium	 64.900 TL 	2011	1596 cc	105.000 km	Benzin	Focus	Galeriden	Ford	Takasa Uygun	Belirtilmemiş	Otomatik	14 Eylül 2019	12265686	BALIKESİR / KARESİ / KUVA-İ MİLLİYE MAHALLESİ	
1.4 Comfort	 34.750 TL 	2004	1388 cc	210.000 km	LPG & Benzin	Astra	Galeriden	Opel	Takasa Uygun Değil	9 boyalı	Düz	13 Eylül 2019	12219215	KONYA / EREĞLİ / HACI MUSTAFA MAHALLESİ	
1.6 GDi Style	 68.000 TL 	2013	1591 cc	77.000 km	LPG & Benzin	i30	Sahibinden	Hyundai	Takasa Uygun Değil	3 boyalı	Düz	14 Eylül 2019	12264198	MARDİN / ARTUKLU / YENİŞEHİR MAHALLESİ	
1.6 TDi Comfortline	 62.750 TL 	2011	1598 cc	165.000 km	Dizel	Polo	Galeriden	Volkswagen	Takasa Uygun	1 boyalı	Yarı Otomatik	13 Eylül 2019	12264299	ANKARA / AKYURT / SARACALAR MAHALLESİ	
1.4 Fire Easy	 75.000 TL 	2019	1201 - 1400 cm3	3.000 km	Benzin	Egea	Galeriden	Fiat	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265404	ANKARA / AKYURT / SARACALAR MAHALLESİ	
Kartal 5 Vites	 9.250 TL 	1993	1581 cc	74.100 km	Benzin	Kartal	Galeriden	Tofaş	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12264017	ANKARA / AKYURT / SARACALAR MAHALLESİ	
1.4 TDCi Titanium X	 59.500 TL 	2012	1398 cc	113.500 km	Dizel	Fiesta	Sahibinden	Ford	Takasa Uygun Değil	Tamamı orjinal	Düz	13 Eylül 2019	12263632	İZMİR / ÇİĞLİ / KÜÇÜK ÇİĞLİ MAHALLESİ	
1.4 Ambiance	 28.500 TL 	2009	1390 cc	203.000 km	Benzin	Sandero	Galeriden	Dacia	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265572	İSTANBUL / SULTANBEYLİ / ADİL MAHALLESİ	
A4 Sedan 2.0 TDI	 192.750 TL 	2016	1968 cc	96.000 km	Dizel	A4	Galeriden	Audi	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12265545	ANKARA / AKYURT / SARACALAR MAHALLESİ	
1.4 RXT	 34.950 TL 	2001	1390 cc	162.500 km	Benzin	Clio	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Otomatik	13 Eylül 2019	12263672	İZMİR / BUCA / İNÖNÜ MAHALLESİ	
1.6 GLS	 23.000 TL 	1997	1598 cc	205.000 km	LPG & Benzin	Astra	Sahibinden	Opel	Takasa Uygun Değil	2 değişen, 7 boyalı	Otomatik	14 Eylül 2019	12264829	YALOVA / MERKEZ / İSMET PAŞA MAHALLESİ	
1.3 CDTI Cosmo	 67.000 TL 	2012	1248 cc	140.000 km	Dizel	Astra	Sahibinden	Opel	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12265723	İSTANBUL / GÜNGÖREN / GENÇOSMAN MAHALLESİ	
1.3 CDTI Edition Plus	 74.900 TL 	2015	1201 - 1400 cm3	105.000 km	Dizel	Astra	Galeriden	Opel	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12208078	İSTANBUL / ESENYURT / TURGUT ÖZAL MAHALLESİ	
1.4 Elite	 41.900 TL 	2006	1339 cc	150.000 km	Benzin	City	Galeriden	Honda	Takasa Uygun	3 değişen, 5 boyalı	Otomatik	13 Eylül 2019	12265175	ANKARA / AKYURT / SARACALAR MAHALLESİ	
1.3 Multijet Easy	 64.750 TL 	2016	1201 - 1400 cm3	106.000 km	Dizel	Egea	Galeriden	Fiat	Takasa Uygun	1 boyalı	Düz	13 Eylül 2019	12264344	ANKARA / AKYURT / SARACALAR MAHALLESİ	
1.4 D-4D Touch	 74.900 TL 	2015	1364 cc	108.000 km	Dizel	Corolla	Galeriden	Toyota	Takasa Uygun Değil	5 boyalı	Düz	14 Eylül 2019	12265559	ANKARA / YENİMAHALLE / MACUN MAHALLESİ	
1.6 CRDI Prime	 61.500 TL 	2012	1582 cc	125.000 km	Dizel	Accent Blue	Sahibinden	Hyundai	Takasa Uygun Değil	2 boyalı	Düz	14 Eylül 2019	12265319	İSTANBUL / SİLİVRİ / SEMİZKUMLAR MAHALLESİ	
C 180 BlueEFFICIENCY AMG	 98.750 TL 	2011	1796 cc	163.000 km	Benzin	C	Galeriden	Mercedes - Benz	Takasa Uygun	Belirtilmemiş	Otomatik	14 Eylül 2019	12265537	OSMANİYE / MERKEZ / ŞİRİNEVLER MAHALLESİ	
 530.000 TL 	2011	3501 - 4000 cm3	52.000 km	Benzin	Panamera	Galeriden	Porsche	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12265028	İSTANBUL / BEYKOZ / ACARLAR MAHALLESİ	
1.6 TDi Comfortline	 76.500 TL 	2013	1598 cc	347.000 km	Dizel	Jetta	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12264740	ANTALYA / KEPEZ / ALTINOVA DÜDEN MAHALLESİ	
1.6 Elegance	 36.500 TL 	2004	1598 cc	247.000 km	LPG & Benzin	Astra	Sahibinden	Opel	Takasa Uygun	1 değişen, 4 boyalı	Düz	14 Eylül 2019	12264583	ADANA / SEYHAN / GÜRSELPAŞA MAHALLESİ	
1.4 DOHC HY KLM	 23.750 TL 	2006	1399 cc	214.000 km	Benzin	Getz	Galeriden	Hyundai	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12263654	ANTALYA / KEPEZ / YENİ DOĞAN MAHALLESİ	
1.4 RNA	 20.500 TL 	2001	1390 cc	180.000 km	Benzin	Clio	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265679	ANKARA / AKYURT / SARACALAR MAHALLESİ	
1.6 TDi Trendline	 78.000 TL 	2012	1598 cc	100.000 km	Dizel	Jetta	Sahibinden	Volkswagen	Takasa Uygun	3 boyalı	Yarı Otomatik	14 Eylül 2019	12264760	ANKARA / ÇANKAYA / İLKADIM MAHALLESİ	
1.6 TDi BlueMotion Comfortline	 135.000 TL 	2015	1598 cc	140.000 km	Dizel	Passat	Sahibinden	Volkswagen	Takasa Uygun Değil	Tamamı orjinal	Yarı Otomatik	14 Eylül 2019	12263750	ISPARTA / MERKEZ / ÇÜNÜR MAHALLESİ	
1.5 dCi Touch Plus	 63.750 TL 	2014	1461 cc	128.000 km	Dizel	Fluence	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12265077	SAKARYA / ERENLER / BAĞLAR MAHALLESİ	
1.3 Multijet Easy	 63.500 TL 	2017	1201 - 1400 cm3	76.083 km	Dizel	Egea	Yetkili Bayiden	Fiat	Takasa Uygun	9 boyalı	Düz	13 Eylül 2019	12263747	İSTANBUL / ESENLER / TUNA MAHALLESİ	
1.6 RTE	 24.000 TL 	1998	1598 cc	266.000 km	LPG & Benzin	Megane	Sahibinden	Renault	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12264632	KOCAELİ / DARICA / FEVZİ PAŞA MAHALLESİ	
1.6 HDi Allure	 53.000 TL 	2014	1560 cc	142.000 km	Dizel	301	Sahibinden	Peugeot	Takasa Uygun Değil	9 boyalı	Düz	14 Eylül 2019	12265210	RİZE / PAZAR / HİSARLI KÖYÜ	
1.6 Classic	 18.500 TL 	1997	1595 cc	297.000 km	Benzin	Polo	Galeriden	Volkswagen	Takasa Uygun Değil	Belirtilmemiş	Düz	12 Eylül 2019	12253770	MALATYA / YEŞİLYURT / YAKINCA MAHALLESİ	
1.6 CDTI Elite	 90.500 TL 	2016	1401 - 1600 cm3	105.000 km	Dizel	Astra	Galeriden	Opel	Takasa Uygun	Belirtilmemiş	Otomatik	14 Eylül 2019	10679825	İSTANBUL / ESENYURT / TURGUT ÖZAL MAHALLESİ	
1.6 TDCi Trend X	 85.800 TL 	2015	1560 cc	107.700 km	Dizel	Focus	Sahibinden	Ford	Takasa Uygun Değil	2 boyalı	Düz	14 Eylül 2019	12264811	İSTANBUL / BEYKOZ / CUMHURİYET MAHALLESİ	
70 SX	 13.500 TL 	1995	1372 cc	100.000 km	Benzin	Uno	Galeriden	Fiat	Takasa Uygun	11 boyalı	Düz	10 Eylül 2019	11926338	ANTALYA / KEPEZ / GÜLVEREN MAHALLESİ	
320i ED 40th Year Edition	 155.000 TL 	2015	1401 - 1600 cm3	158.000 km	Benzin	3 Serisi	Galeriden	BMW	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	27 Ağustos 2019	12139467	DİYARBAKIR / YENİŞEHİR / FABRİKA MAHALLESİ	
1.4 TDCi Comfort	 31.700 TL 	2005	1201 - 1400 cm3	199.000 km	Dizel	Fiesta	Galeriden	Ford	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12265052	AYDIN / NAZİLLİ / NAZİLLİ OSB	
1.2 D-CVVT Sense	 45.500 TL 	2012	1248 cc	162.000 km	Benzin	i20	Galeriden	Hyundai	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12263723	ADANA / SEYHAN / YEŞİLOBA MAHALLESİ	
1.5 dCi Joy	 53.950 TL 	2016	1461 cc	158.000 km	Dizel	Symbol	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265418	İSTANBUL / SULTANGAZİ / CEBECİ MAHALLESİ	
1.6 CRDI Mode	 48.750 TL 	2013	1582 cc	235.000 km	Dizel	Accent Blue	Galeriden	Hyundai	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265660	ANKARA / AKYURT / SARACALAR MAHALLESİ	
320i First Edition M Sport	 425.000 TL 	2019	1401 - 1600 cm3	0 km	Benzin	3 Serisi	Galeriden	BMW	Takasa Uygun	Belirtilmemiş	Otomatik	14 Eylül 2019	12265600	İSTANBUL / BEŞİKTAŞ / ETİLER MAHALLESİ	
1.4 EcoTSI FR	 118.500 TL 	2016	1395 cc	74.000 km	Benzin	Leon	Galeriden	Seat	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	11 Eylül 2019	12244095	KAYSERİ / KOCASİNAN / YILDIZEVLER MAHALLESİ	
