Model	Fiyat	Yil	Motor-Hacmi	Kilometre	Yakit	Seri	Kimden	Marka	Takasa-Uygun	Boya-Degisen	Vites-Tipi	Ilan-Tarihi	Ilan-No	Mekan
SW	 18.000 TL 	1998	1201 - 1400 cm3	120.000 km	LPG & Benzin	R 12	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Düz	12 Eylül 2019	9795519	DENİZLİ / SARAYKÖY / CUMHURİYET MAHALLESİ	
1.2 GLS	 41.900 TL 	2012	1242 cc	76.500 km	Benzin	Splash	Galeriden	Suzuki	Takasa Uygun Değil	1 boyalı	Düz	13 Eylül 2019	12263652	İZMİR / BORNOVA / KAZIMDİRİK MAHALLESİ	
SL	 11.500 TL 	1992	1581 cc	39.282 km	Benzin	Doğan	Galeriden	Tofaş	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12183870	ZONGULDAK / EREĞLİ / KEPEZ MAHALLESİ	
70 S	 13.000 TL 	1996	1372 cc	219.000 km	LPG & Benzin	Uno	Sahibinden	Fiat	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12265710	SAKARYA / ARİFİYE / ARİFBEY MAHALLESİ	
1.4 CRDi Style	 83.750 TL 	2018	1396 cc	43.270 km	Dizel	i20	Galeriden	Hyundai	Takasa Uygun Değil	4 boyalı	Düz	13 Eylül 2019	12264166	İSTANBUL / PENDİK / KAYNARCA MAHALLESİ	
1.2 D-CVVT Elite	 69.750 TL 	2016	1201 - 1400 cm3	19.037 km	Benzin	i10	Galeriden	Hyundai	Takasa Uygun	Belirtilmemiş	Otomatik	13 Eylül 2019	12231330	İSTANBUL / ESENYURT / GÖKEVLER MAHALLESİ	
1.6 Icon	 64.500 TL 	2012	1201 - 1400 cm3	139.000 km	LPG & Benzin	Megane	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Düz	12 Eylül 2019	12139792	AFYONKARAHİSAR / BOLVADİN / BAĞLARBAŞI MAHALLESİ	
1.6	 18.250 TL 	1994	270.000 km	LPG & Benzin	Astra	Sahibinden	Opel	Takasa Uygun Değil	Belirtilmemiş	Düz	13 Eylül 2019	12263683	ANKARA / KEÇİÖREN / YAYLA MAHALLESİ	
2.0 TDCi Trend	 56.900 TL 	2011	1801 - 2000 cm3	218.000 km	Dizel	Mondeo	Galeriden	Ford	Takasa Uygun	2 boyalı	Yarı Otomatik	14 Eylül 2019	10676416	HATAY / ANTAKYA / HARAPARASI MAHALLESİ	
C 200 BlueTEC AMG	 273.000 TL 	2018	1401 - 1600 cm3	39.000 km	Dizel	C	Galeriden	Mercedes - Benz	Takasa Uygun	Belirtilmemiş	Otomatik	14 Eylül 2019	12265511	AKSARAY / MERKEZ / ARATOL BAHÇELİ MAHALLESİ	
1.5 dCi Joy	 66.500 TL 	2017	1401 - 1600 cm3	73.000 km	Dizel	Clio	Galeriden	Renault	Takasa Uygun	2 boyalı	Düz	13 Eylül 2019	12259021	İSTANBUL / ESENYURT / TURGUT ÖZAL MAHALLESİ	
1.6 e-HDi Confort	 79.750 TL 	2012	1401 - 1600 cm3	95.000 km	Dizel	C5	Galeriden	Citroen	Takasa Uygun	3 boyalı	Yarı Otomatik	14 Eylül 2019	12265607	DÜZCE / MERKEZ / TAŞKÖPRÜ KÖYÜ (MERKEZ MAHALLESİ)	
1.6 Edition	 58.500 TL 	2012	1401 - 1600 cm3	175.000 km	Benzin	Astra	Galeriden	Opel	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12265477	KIRIKKALE / MERKEZ / YENİMAHALLE MAHALLESİ	
2.0 TDi	 115.000 TL 	2011	1968 cc	159.000 km	Dizel	VW CC	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12264678	İZMİR / BUCA / İNÖNÜ MAHALLESİ	
1.6 Comfortline Classic	 33.250 TL 	2001	1595 cc	173.000 km	Benzin	Polo	Galeriden	Volkswagen	Takasa Uygun Değil	Belirtilmemiş	Düz	13 Eylül 2019	12264310	ANKARA / ALTINDAĞ / ZÜBEYDE HANIM MAHALLESİ	
1.2 Icon	 61.500 TL 	2016	1149 cc	68.500 km	Benzin	Clio	Sahibinden	Renault	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12265252	MANİSA / YUNUSEMRE / MERKEZ EFENDİ MAHALLESİ	
1.6 TDi BlueMotion Trendline	 115.000 TL 	2015	1401 - 1600 cm3	175.000 km	Dizel	Passat	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12265591	İSTANBUL / ESENYURT / TURGUT ÖZAL MAHALLESİ	
1.6 XEi	 27.750 TL 	1997	1598 cc	530.000 km	Benzin	Corolla	Galeriden	Toyota	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265663	ANKARA / AKYURT / SARACALAR MAHALLESİ	
1.2 Enjoy	 44.550 TL 	2008	1229 cc	119.500 km	LPG & Benzin	Corsa	Galeriden	Opel	Takasa Uygun Değil	3 boyalı	Düz	11 Eylül 2019	12196997	KAYSERİ / TALAS / YENİDOĞAN MAHALLESİ	
1.5 dCi Joy	 62.300 TL 	2013	1461 cc	60.000 km	Dizel	Clio	Sahibinden	Renault	Takasa Uygun Değil	Tamamı orjinal	Düz	14 Eylül 2019	12264361	BİLECİK / MERKEZ / BEŞİKTAŞ MAHALLESİ	
1.4 D-4D Comfort Extra	 61.500 TL 	2010	1364 cc	145.000 km	Dizel	Auris	Galeriden	Toyota	Takasa Uygun Değil	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12264485	İSTANBUL / ŞİŞLİ / YAYLA MAHALLESİ	
1.33 Style X-Trend	 91.500 TL 	2017	1201 - 1400 cm3	17.000 km	Benzin	Yaris	Galeriden	Toyota	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12264669	ANTALYA / KEPEZ / ALTINOVA DÜDEN MAHALLESİ	
